cust_id,full_name,email,phone,signup_date,customer_segment,region,total_lifetime_orders,source_system
C-03724,Siriporn Boonmee,siriporn.boonmee3724@example.com,0807383869,2022-01-20,Regular,Khon Kaen,25,CRM_LEGACY_MIGRATED
C-02296,Kittipong Thongdee,kittipong.thongdee2296@example.com,0805484096,2022-05-04,VIP,Phuket,39,CRM_LEGACY
C-01157,Wichai Boonmee,wichai.boonmee1157@example.com,0801118061,2022-02-28,Regular,Chonburi,32,CRM_V2
C-02492,Pim Boonmee,pim.boonmee2492@example.com,0847378157,2023-12-04,Regular,Khon Kaen,24,CRM_V2
C-00214,Preecha Thongdee,preecha.thongdee214@example.com,0819919935,2024-02-01,Regular,Chiang Mai,12,CRM_LEGACY
C-09578,Wichai Chaiyaporn,wichai.chaiyaporn9578@example.com,0827807715,2022-07-24,Regular,Khon Kaen,2,CRM_V2
C-06221,Kittipong Sukjai,kittipong.sukjai6221@example.com,0886318092,2023-07-19,Regular,Khon Kaen,32,CRM_LEGACY_MIGRATED
C-08818,Somchai Chaiyaporn,somchai.chaiyaporn8818@example.com,0843466731,2023-01-26,Regular,Phuket,2,CRM_V2
C-03228,Suda Rattanakul,suda.rattanakul3228@example.com,0811788755,2022-10-11,New,Bangkok,39,CRM_V2
C-04465,Pim Kaewmanee,pim.kaewmanee4465@example.com,0806579432,2022-05-10,Regular,Khon Kaen,24,CRM_V2
C-03374,Kittipong Thongdee,kittipong.thongdee3374@example.com,0845462981,2022-10-18,VIP,Chiang Mai,26,CRM_V2
C-04301,Chai Rattanakul,chai.rattanakul4301@example.com,0866655730,2021-12-26,Regular,Phuket,39,CRM_V2
C-06280,Suda Suksawat,suda.suksawat6280@example.com,0815626934,2022-05-22,VIP,Chiang Mai,13,CRM_V2
C-09697,Somsak Phanuwat,somsak.phanuwat9697@example.com,0849750630,2022-07-23,New,Bangkok,21,CRM_V2
C-02974,Somchai Kaewmanee,somchai.kaewmanee2974@example.com,0848805270,2022-06-26,New,Phuket,9,CRM_V2
C-06770,Thanapon Boonmee,thanapon.boonmee6770@example.com,0827885556,2024-02-05,New,Chonburi,19,CRM_V2
C-03955,Pim Phanuwat,pim.phanuwat3955@example.com,0831220094,2022-09-07,New,Phuket,8,CRM_V2
C-09237,Pim Sukjai,pim.sukjai9237@example.com,0850113604,2024-02-24,New,Phuket,23,CRM_V2
C-03747,Suda Wongsawat,,0882288788,2024-01-27,Regular,Chiang Mai,11,CRM_V2
C-01735,Somsak Chaiyaporn,somsak.chaiyaporn1735@example.com,0835956834,2023-12-10,Regular,Phuket,7,CRM_LEGACY
C-09246,Kittipong Kaewmanee,kittipong.kaewmanee9246@example.com,0817080850,2022-11-18,VIP,Bangkok,1,CRM_V2
C-01211,Preecha Rattanakul,preecha.rattanakul1211@example.com,0874642070,2022-05-01,Regular,Bangkok,22,CRM_V2
C-01368,Kittipong Phanuwat,kittipong.phanuwat1368@example.com,0823109580,2024-05-11,VIP,Khon Kaen,8,CRM_LEGACY
C-00111,Wichai Rattanakul,wichai.rattanakul111@example.com,0828960979,2021-12-27,Regular,Chiang Mai,38,CRM_LEGACY
C-08841,Kittipong Boonmee,kittipong.boonmee8841@example.com,0839919500,2023-05-14,New,Chiang Mai,35,CRM_LEGACY_MIGRATED
C-07209,Anan Phanuwat,anan.phanuwat7209@example.com,0844965527,2024-03-04,New,Phuket,28,CRM_LEGACY
C-07301,Suda Wongsawat,suda.wongsawat7301@example.com,0879404650,2022-12-28,New,Chiang Mai,31,CRM_V2
C-09549,Malee Rattanakul,malee.rattanakul9549@example.com,0860431955,2023-03-21,New,Chiang Mai,5,CRM_V2
C-07668,Chai Chaiyaporn,chai.chaiyaporn7668@example.com,0843486107,2022-09-21,VIP,Chonburi,2,CRM_V2
