cust_id,full_name,email,phone,signup_date,customer_segment,region,total_lifetime_orders,source_system
C-00442,Somsak Phanuwat,somsak.phanuwat442@example.com,0813936408,08/10/2023,N/A,bangkok,11.0,CRM_LEGACY
C-00173,Thanapon Thongdee,thanapon.thongdee173@example.com,+66802996711,2022-10-31,new,ชลบุรี,18.0,CRM_V2
C-00558,Somchai Kaewmanee,somchai.kaewmanee558@example.com,+66839491531,15/05/2022,New,HKT,24.0,CRM_V2
C-00415,Pim Chaiyaporn,pim.chaiyaporn415@example.com,0850796716,02/08/2023,new,Bangkok,37.0,CRM_V2
C-00609,Chai Kaewmanee,chai.kaewmanee609@example.com,0886588937,06/08/2022,N/A,Khon Kaen,17.0,CRM_V2
C-00541,Pim Suksawat,pim.suksawat541@example.com,+66862020684,29/10/2022,3, CNX ,14.0,CRM_V2
C-00627,Pim Rattanakul,pim.rattanakul627@example.com,089-177-0952,17/04/2024,,เชียงใหม่,32.0,CRM_V2
C-00016,Wichai Rattanakul,wichai.rattanakul16@example.com,083-720-1389,2023-06-08,NEW,Chonburi,2.0,CRM_LEGACY
C-00533,Wichai Thongdee,wichai.thongdee533@example.com,0881791467,19/08/2022,Vip,ขอนแก่น,,CRM_LEGACY_MIGRATED
C-00403,Anan Suksawat,anan.suksawat403@example.com,+66890762969,08/29/2022,N/A,HKT,21.0,CRM_V2
C-00144,Preecha Boonmee,preecha.boonmee144@example.com,+66869615208,2023-04-15,NEW,ภูเก็ต,4.0,CRM_V2
C-00289,Pim Suksawat,pim.suksawat289@example.com,+66853203338,16/10/2023,,CNX,20.0,CRM_V2
C-00345,Somchai Chaiyaporn,somchai.chaiyaporn345@example.com,083-740-5291,22/01/2022,regular,ขอนแก่น,-12.0,CRM_V2
C-00474,Siriporn Phanuwat,siriporn.phanuwat474@example.com,085-638-9018,03/10/2022,3,Pattaya,36.0,CRM_V2
C-00417,Suda Kaewmanee,suda.kaewmanee417@example.com,+66896681339,20/11/2022,Regular,กรุงเทพ,20.0,CRM_V2
C-00323,Wichai Phanuwat,wichai.phanuwat323@example.com,0819363889,14/02/2023,1,Phuket,4.0,CRM_LEGACY
C-00459,Preecha Chaiyaporn,preecha.chaiyaporn459@example.com,+66822734712,09/04/2023,REGULAR,Phuket,33.0,CRM_LEGACY
C-00602,Somsak Rattanakul,somsak.rattanakul602@example.com,+66867817263,13/11/2022,regular,Phuket,21.0,CRM_V2
C-00594,Thanapon Thongdee,thanapon.thongdee594@example.com,085-857-2151,06-Aug-2023,,HKT,,CRM_V2
C-00388,Kittipong Wongsawat,kittipong.wongsawat388@example.com,+66818099216,09/21/2022,NEW, Phuket ,15.0,CRM_LEGACY_MIGRATED
C-00741,Thanapon Rattanakul,thanapon.rattanakul741@example.com,0850918218,2022-06-04,Regular,ภูเก็ต,36.0,CRM_V2
C-00138,Wichai Rattanakul,wichai.rattanakul138@example.com,0837805585,2022-03-19,New,Chiang Mai,27.0,CRM_V2
C-00066,Somchai Rattanakul,somchai.rattanakul66@example.com,0849316372,19/05/2022,New, ชลบุรี ,21.0,CRM_V2
C-00231,Waree Chaiyaporn,waree.chaiyaporn231@example.com,+66873675446,12/22/2023, Regular,ชลบุรี,22.0,CRM_V2
